-0.37	0.05
-0.33	-0.95
-0.74	0.93
-0.01	-0.12
-0.04	-0.25
-0.88	-0.25
-0.03	-0.92
-0.65	0.98
-0.62	0.94
-0.86	-0.92
-0.95	0.00
-0.23	0.00
-0.04	-0.11
-0.66	-0.94
-0.32	-0.05
-0.02	0.21
-0.94	0.82
-0.94	-0.28
-0.87	0.24
-0.54	-0.04
-0.02	0.84
-0.05	-0.29
-0.01	0.40
-0.33	-0.07
-0.23	-0.15
-0.81	-0.91
-0.94	-0.78
-0.87	-0.01
-0.11	-0.95
-0.17	0.12
-0.95	0.54
-0.30	0.09
-0.91	0.07
-0.99	-0.83
-0.94	-0.12
-0.90	-0.16
-0.59	-0.02
-0.99	0.22
-0.95	0.71
-0.96	0.81
-0.92	0.72
-0.45	1.00
-0.25	0.05
-0.90	-0.02
-0.06	-0.98
-0.26	-0.97
-0.46	0.99
-0.89	-0.76
-0.09	0.29
-0.32	0.04
-0.89	-0.18
-0.99	0.98
-0.99	0.18
-0.99	-0.91
-0.42	-0.99
-0.49	-0.99
-0.33	-0.93
-0.92	0.66
-0.94	-0.40
-0.01	-0.01
-0.01	-0.31
-0.16	-0.81
-0.08	0.78
-0.98	-0.75
-0.65	-0.93
-0.02	0.50
-0.55	-0.01
-0.01	-0.79
-0.12	-0.88
-0.76	0.93
-0.80	-0.84
-0.83	-0.93
-0.81	-0.16
-0.55	-0.04
-0.95	0.45
-0.67	-0.99
-0.36	0.05
-0.97	-0.81
-0.66	-0.92
-0.15	-0.83
-0.43	0.98
-0.45	0.01
-0.94	-0.36
-0.03	0.86
-0.94	-0.76
-0.60	-0.05
-0.15	0.03
-0.65	-0.98
-0.93	0.05
-0.98	-0.48
-0.94	-0.37
-0.14	0.07
-0.57	-0.99
-0.02	0.87
-0.30	0.01
-0.12	-0.84
-0.09	0.83
-0.02	0.88
-0.26	0.91
-0.64	0.01
-0.84	0.95
-0.92	-0.30
-0.94	0.79
-0.44	-0.01
-0.03	-0.53
-0.89	-0.95
-0.99	0.06
-0.77	-0.12
-0.69	0.91
-0.90	0.26
-0.36	0.06
-0.96	0.23
-0.36	0.96
-0.12	-1.00
-0.03	0.42
-0.29	-0.90
-0.07	0.27
-0.66	-0.02
-0.75	0.08
-0.41	-0.99
-0.39	0.97
-0.07	-0.91
-0.43	-0.95
-0.06	0.65
-0.97	-0.52
-0.98	0.38
-0.99	0.28
-0.98	-0.16
-0.97	-0.55
-0.98	-0.72
-0.93	0.79
-0.70	0.06
-0.21	-0.89
-0.98	0.75
-0.57	-0.05
-0.35	0.97
-0.44	-0.96
-0.90	-0.73
-0.88	0.26
-0.59	0.05
0.00	-0.02
-0.95	-0.46
-0.80	-0.17
-0.15	-0.95
-0.94	-0.36
-0.98	0.24
-0.96	0.49
-0.19	0.88
-0.19	-0.94
-0.94	-0.70
-0.98	0.34
-0.94	-0.83
-0.28	0.04
-0.31	0.95
-0.03	-0.80
-1.00	1.00
-0.76	-0.91
-0.74	-0.05
-0.27	0.92
-0.11	-0.16
-0.05	0.73
0.00	-0.87
-0.06	0.92
-0.88	-0.03
-0.90	-0.70
-0.80	-0.91
-0.01	-0.69
-0.15	-1.00
-0.60	-0.99
-0.06	-0.15
-0.07	-0.13
-0.05	-0.26
-0.16	-0.03
-1.00	-0.97
-0.90	0.00
-0.06	0.72
-0.92	-0.71
-0.54	-0.98
-0.95	-0.43
-0.02	0.03
-0.89	-0.16
-0.23	-0.01
-1.00	0.86
-0.13	0.83
-0.04	-0.30
-0.16	0.17
-0.76	0.89
-0.05	-0.40
-0.02	0.37
-0.87	0.83
-0.89	0.04
-0.02	0.63
-0.98	-0.56
-0.99	0.24
-0.05	-0.64
-0.94	-0.15
-1.00	0.60
-0.06	0.12
-0.99	-0.58
-0.07	0.03
-0.39	0.06
-0.66	-0.07
-0.69	-0.95
-0.03	0.69
-0.99	-0.25
-0.96	-0.22
-0.89	0.85
-0.98	0.96
-0.71	0.07
-0.81	-0.04
-0.88	-0.75
-0.10	0.28
-0.03	-0.19
-0.33	0.02
-0.03	-0.57
-0.95	-0.25
-0.10	-0.71
-0.91	-0.70
-0.01	0.36
-0.91	-0.07
-0.96	0.08
-0.50	0.99
-0.05	-0.10
-0.06	0.85
-0.87	0.77
-0.03	0.11
-0.99	-0.40
-0.98	0.30
0.00	0.29
-0.83	0.97
-0.48	0.97
-0.18	0.13
-0.96	-0.56
-0.06	0.65
-0.92	-0.05
-0.91	0.77
-0.15	0.99
-0.95	0.68
-0.27	-0.90
-0.75	-0.02
-0.78	0.12
-0.15	0.19
-0.81	-0.10
-0.97	-0.56
-0.21	-0.09
-0.04	-0.81
-0.10	0.13
-0.04	-0.94
-0.12	-0.14
-0.94	-0.70
-0.91	0.99
-0.01	-0.12
-0.88	0.85
-0.22	-0.96
-0.27	-0.02
-0.76	-0.89
-0.05	0.36
-0.21	0.14
-0.02	0.94
-0.90	-0.26
-0.84	-0.99
-0.23	0.07
-0.19	-0.03
-0.96	0.31
-0.18	0.84
-0.14	0.19
-0.08	0.06
-0.82	-0.89
-0.02	0.72
-0.98	-0.10
-0.72	-0.09
-0.96	-0.32
-0.81	0.97
-0.74	0.07
-0.19	-0.88
-0.02	0.88
-0.27	0.09
-0.99	-0.42
-0.07	0.34
-0.88	0.03
-0.02	0.40
-0.61	1.00
-0.03	0.34
-0.01	0.61
-0.24	-0.06
-0.11	-0.76
-0.93	-0.95
-0.81	-0.17
-0.06	-0.76
-0.52	0.99
-0.77	0.89
-0.17	0.90
-0.17	0.15
-0.81	0.83
-0.18	-0.05
-0.97	-0.48
-0.26	0.02
-0.09	-0.98
-0.14	0.90
-0.23	-0.87
-0.75	0.94
-0.73	0.91
-0.53	0.01
-0.99	-0.68
-0.39	-0.05
-0.70	0.95
-0.51	-0.99
-0.12	0.92
-0.04	-0.97
-0.04	0.62
-0.99	0.22
-0.16	-0.11
-0.09	-0.11
-0.97	-0.25
-0.21	-0.03
-0.03	-0.33
